ID;Tipo;SKU;Nombre;Publicado;¿Está destacado?;Visibilidad en el catálogo;Descripción corta;Descripción;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Estado del impuesto;Clase de impuesto;¿En inventario?;Inventario;Cantidad de bajo inventario;¿Permitir reservas de productos agotados?;¿Vendido individualmente?;Peso (kg);Longitud (cm);Anchura (cm);Altura (cm);¿Permitir valoraciones de clientes?;Nota de compra;Precio rebajado;Precio normal;Categorías;Etiquetas;Clase de envío;Imágenes;Límite de descargas;Días de caducidad de la descarga;Superior;Productos agrupados;Ventas dirigidas;Ventas cruzadas;URL externa;Texto del botón;Posición
3705;simple;122;CLOW Jabon liquido 12x800ml;1;0;visible;CLOW Jabon liquido 12x800ml;;;;taxable;;1;;;0;0;;;;;1;;;1290;Limpieza, surtido;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/jabonliquido.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/jabonliquido.png;;;;;;;;;0
3706;simple;133;Kit Hadibell 0;1;0;visible;Kit Hadibell 0;;;;taxable;;1;;;0;0;;;;;1;;;120;Perfumeria;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/133.jpg;;;;;;;;;0
3707;simple;134;Indutex Lampazo algodon (12);1;0;visible;Indutex Lampazo algodon (12);;;;taxable;;1;;;0;0;;;;;1;;;298;Bazar;;;;;;;;;;;;0
3708;simple;136;Lavandina Sedilee 1L x12;1;0;visible;Lavandina Sedilee 1L x12;;;;taxable;;1;;;0;0;;;;;1;;;490;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_155.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_155.png;;;;;;;;;0
3709;simple;138;Lavandina Sedilee 4.5L x3;1;0;visible;Lavandina Sedilee 4.5L x3;;;;taxable;;1;;;0;0;;;;;1;;;490;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_155.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_155.png;;;;;;;;;0
3710;simple;139;Esencial Limp. 900ml lavanda natural x15;1;0;visible;Esencial Limp. 900ml lavanda natural x15;;;;taxable;;1;;;0;0;;;;;1;;;725;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png;;;;;;;;;0
3711;simple;140;Esencial Limp. 900ml intensidad limon x15;1;0;visible;Esencial Limp. 900ml intensidad limon x15;;;;taxable;;1;;;0;0;;;;;1;;;725;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png;;;;;;;;;0
3712;simple;141;Esencial Limp. 900ml Pino silvestre x15;1;0;visible;Esencial Limp. 900ml Pino silvestre x15;;;;taxable;;1;;;0;0;;;;;1;;;725;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png;;;;;;;;;0
3713;simple;142;Esencial Limp. 900ml Frescura mar x15;1;0;visible;Esencial Limp. 900ml Frescura mar x15;;;;taxable;;1;;;0;0;;;;;1;;;725;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png;;;;;;;;;0
3714;simple;143;Esencial Limp. 900ml  Flores tropicales x15;1;0;visible;Esencial Limp. 900ml Flores tropicales x15;;;;taxable;;1;;;0;0;;;;;1;;;725;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png;;;;;;;;;0
3715;simple;144;Esencial Limp. 900ml Dulzura bebe x15;1;0;visible;Esencial Limp. 900ml Dulzura bebe x15;;;;taxable;;1;;;0;0;;;;;1;;;725;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_160.png;;;;;;;;;0
3716;simple;151;Limpiador Sedilee 4.5L  Marino x3;1;0;visible;Limpiador Sedilee 4.5L Marino x3;;;;taxable;;1;;;0;0;;;;;1;;;440;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png;;;;;;;;;0
3717;simple;157;Limpiador Sedilee 900ml Marino x15;1;0;visible;Limpiador Sedilee 900ml Marino x15;;;;taxable;;1;;;0;0;;;;;1;;;600;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png;;;;;;;;;0
3718;simple;158;Limpiador Sedilee 900ml Pino x15;1;0;visible;Limpiador Sedilee 900ml Pino x15;;;;taxable;;1;;;0;0;;;;;1;;;600;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png;;;;;;;;;0
3719;simple;159;Limpiador Sedilee 900ml Citrico x15;1;0;visible;Limpiador Sedilee 900ml Citrico x15;;;;taxable;;1;;;0;0;;;;;1;;;0;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png;;;;;;;;;0
3720;simple;160;Limpiador Sedilee 900ml Cherry x15;1;0;visible;Limpiador Sedilee 900ml Cherry x15;;;;taxable;;1;;;0;0;;;;;1;;;600;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png;;;;;;;;;0
3721;simple;161;Limpiador Sedilee 900ml Lavanda x15;1;0;visible;Limpiador Sedilee 900ml Lavanda x15;;;;taxable;;1;;;0;0;;;;;1;;;600;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_158.png;;;;;;;;;0
3722;simple;163;NP Paleta mata moscas x12;1;0;visible;NP Paleta mata moscas x12;;;;taxable;;1;;;0;0;;;;;1;;;360;Bazar;;;;;;;;;;;;0
3723;simple;166;NP Pala Resid. plástica c/corto ref.;1;0;visible;NP Pala Resid. pl?stica c/corto ref.;;;;taxable;;1;;;0;0;;;;;1;;;55;Bazar;;;;;;;;;;;;0
3724;simple;167;Flitero Pulverizador Alumbra;1;0;visible;Flitero Pulverizador Alumbra;;;;taxable;;1;;;0;0;;;;;1;;;340;Bazar;;;;;;;;;;;;0
3725;simple;168;Pañal Pampers Babysan P;1;0;visible;Pa?al Pampers Babysan P;;;;taxable;;1;;;0;0;;;;;1;;;135;Perfumeria;;;;;;;;;;;;0
3726;simple;169;Pañal Pampers Babysan M;1;0;visible;Pa?al Pampers Babysan M;;;;taxable;;1;;;0;0;;;;;1;;;135;Perfumeria;;;;;;;;;;;;0
3727;simple;170;Pañal Pampers Babysan G;1;0;visible;Pa?al Pampers Babysan G;;;;taxable;;1;;;0;0;;;;;1;;;135;Perfumeria;;;;;;;;;;;;0
3728;simple;177;Plumero Multicolor chico NP;1;0;visible;Plumero Multicolor chico NP;;;;taxable;;1;;;0;0;;;;;1;;;200;Bazar;;;;;;;;;;;;0
3729;simple;178;Plumero Patagonia Mediano N°2;1;0;visible;Plumero Patagonia Mediano N?2;;;;taxable;;1;;;0;0;;;;;1;;;730;Bazar;;;;;;;;;;;;0
3730;simple;179;Plumero Patagonia Grande N°1;1;0;visible;Plumero Patagonia Grande N?1;;;;taxable;;1;;;0;0;;;;;1;;;840;Bazar;;;;;;;;;;;;0
3731;simple;180;JLS Poxipol 10m Met x6;1;0;visible;JLS Poxipol 10m Met x6;;;;taxable;;1;;;0;0;;;;;1;;;2220;Pegamentos;;;;;;;;;;;;0
3732;simple;181;JLS Poxipol 10m Transp. X6;1;0;visible;JLS Poxipol 10m Transp. X6;;;;taxable;;1;;;0;0;;;;;1;;;2220;Pegamentos;;;;;;;;;;;;0
3733;simple;183;JLS Poxilina 10m x 6;1;0;visible;JLS Poxilina 10m x 6;;;;taxable;;1;;;0;0;;;;;1;;;2200;Pegamentos;;;;;;;;;;;;0
3734;simple;194;JLS Poxi-Ram x6;1;0;visible;JLS Poxi-Ram x6;;;;taxable;;1;;;0;0;;;;;1;;;1510;Pegamentos;;;;;;;;;;;;0
3735;simple;195;JLS Unipox x6;1;0;visible;JLS Unipox x6;;;;taxable;;1;;;0;0;;;;;1;;;720;Pegamentos;;;;;;;;;;;;0
3736;simple;196;JLS La gotita x6;1;0;visible;JLS La gotita x6;;;;taxable;;1;;;0;0;;;;;1;;;750;Pegamentos;;;;;;;;;;;;0
3737;simple;197;JLS La gotita gel x6;1;0;visible;JLS La gotita gel x6;;;;taxable;;1;;;0;0;;;;;1;;;940;Pegamentos;;;;;;;;;;;;0
3738;simple;198;JLS Fastix transp. x6;1;0;visible;JLS Fastix transp. x6;;;;taxable;;1;;;0;0;;;;;1;;;1890;Pegamentos;;;;;;;;;;;;0
3739;simple;199;JLS Fastix negro x6;1;0;visible;JLS Fastix negro x6;;;;taxable;;1;;;0;0;;;;;1;;;1267;Pegamentos;;;;;;;;;;;;0
3740;simple;202;JLS Eccole x6;1;0;visible;JLS Eccole x6;;;;taxable;;1;;;0;0;;;;;1;;;1995;Pegamentos;;;;;;;;;;;;0
